model,cv_balanced_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,test_balanced_accuracy,test_precision,test_recall,test_f1
svc,0.7884772679894632,0.824732123668294,0.7932249322493223,0.8069028359864259,0.8434959349593496,0.8762886597938144,0.8333333333333334,0.8542713567839196
random_forest_tuned,,,0.8252935862691959,,0.8008130081300813,0.8173076923076923,0.8333333333333334,0.8252427184466019
random_forest,0.7934850906395623,0.8123965922111033,0.8277627220716652,0.8187446603279593,0.7886178861788617,0.8018867924528302,0.8333333333333334,0.8173076923076923
logistic_regression,0.781833427036679,0.8244184052403231,0.7710328214393255,0.7962946041582681,0.8093017694882831,0.8383838383838383,0.8137254901960784,0.8258706467661692
knn,0.795494553624635,0.8130547836067137,0.8376091538693166,0.8227616390809362,0.7800095648015304,0.803921568627451,0.803921568627451,0.803921568627451
